"Name","Created","Runtime","End Time","Hostname","Notes","GPU Type","Updated","Tags","alpha","c_num","dsf","z_channels","Bits_per_pixel","test_crossH","test_mse","test_softcrossH","test_total","train_crossH","train_mse","train_softcrossH","train_total","zdim"
"daily-flower-180","2021-04-21T14:43:38.000Z","442","2021-04-21T14:51:00.000Z","gpu014.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:51:00.000Z","","0.01","64","4","4","0.3764899070288155","1.043851648902893","0.007918787731230259","1.3441375051498412","1.0652118103027344","1.0319397449493408","0.008122783154249191","1.3383606672286987","1.0534461736679075","256"
"fanciful-disco-178","2021-04-21T14:43:38.000Z","448","2021-04-21T14:51:06.000Z","gpu015.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:51:06.000Z","","0.01","64","4","8","0.605911237016322","0.8399713418006897","0.005382026718556881","1.0416024017333985","0.8557693936347961","0.8497015237808228","0.005508443806320429","1.051186203956604","0.8657218217849731","512"
"still-donkey-178","2021-04-21T14:43:38.000Z","473","2021-04-21T14:51:31.000Z","gpu015.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:51:31.000Z","","0.01","64","4","16","0.9392009782039488","0.6510045051574707","0.004472332901507616","0.9534401688575744","0.6650112389564514","0.6534022092819214","0.004895865451544523","0.95903342962265","0.6678884029388428","1024"
"cosmic-waterfall-181","2021-04-21T14:43:38.000Z","500","2021-04-21T14:51:58.000Z","gpu011.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:51:58.000Z","","0.01","128","4","4","0.4828483980701245","1.338740039634705","0.0070694052338600155","1.9923422126770016","1.3657328723907471","1.3359863758087158","0.007261498365551233","1.986404061317444","1.363111972808838","256"
"hardy-shape-182","2021-04-21T14:43:38.000Z","524","2021-04-21T14:52:22.000Z","gpu016.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:52:22.000Z","","0.01","64","4","32","4.0131431199922245","1.3908494386672974","0.0022117303408682345","2.15734732131958","1.41463464717865","1.4023840427398682","0.002194352447986603","2.17647933959961","1.4263432025909424","2048"
"apricot-dew-174","2021-04-21T14:41:44.000Z","434","2021-04-21T14:48:58.000Z","gpu016.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:48:58.000Z","","0.01","16","4","4","0.3234272540850224","0.8967307641983032","0.007951494052261114","1.0578921600341795","0.9152611830711364","0.8626023530960083","0.009156973101198672","1.0542744398117063","0.8823020458221436","256"
"easy-sun-169","2021-04-21T14:41:44.000Z","486","2021-04-21T14:49:50.000Z","gpu016.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:49:50.000Z","","0.01","8","4","32","1.178551693862316","0.40845492730140687","0.0030713923074305056","0.47700716896057127","0.4162963902950287","0.41069895029067993","0.0031262687407433987","0.4781065881252289","0.4186062812805176","2048"
"gentle-field-174","2021-04-21T14:41:44.000Z","441","2021-04-21T14:49:05.000Z","gpu016.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:49:05.000Z","","0.01","16","4","8","0.4693448012566616","0.6506500470161438","0.005676164582371712","0.8584855167388916","0.6649110668182373","0.6580209136009216","0.005915794055908918","0.8674079775810242","0.6726107597351074","512"
"clean-snowflake-169","2021-04-21T14:41:44.000Z","491","2021-04-21T14:49:55.000Z","gpu016.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:49:55.000Z","","0.01","16","4","32","1.2335378619303894","0.4275118295669555","0.003164744897931814","0.5702821999549865","0.43637939653396607","0.434365451335907","0.003920453134924173","0.5777027010917664","0.4440629184246063","2048"
"whole-shape-169","2021-04-21T14:41:44.000Z","455","2021-04-21T14:49:19.000Z","gpu016.cluster","-","GeForce RTX 2080 Ti","2021-04-21T14:49:19.000Z","","0.01","16","4","16","0.7431041447600104","0.5150804872512817","0.004176344182342291","0.6657671405792236","0.5259144998550415","0.5174273252487183","0.004528597928583622","0.668609082698822","0.5286419987678528","1024"
"eager-rain-174","2021-04-21T14:41:44.000Z","711","2021-04-21T14:53:35.000Z","gpu005.cluster","-","Tesla P100-PCIE-12GB","2021-04-21T14:53:35.000Z","","0.01","32","4","8","0.5190590277981083","0.7195686201095581","0.006036924040317536","1.0037416098594665","0.7356429575920105","0.7263510227203369","0.006158062256872654","1.0055631399154663","0.7425647377967834","512"
