"Name","State","Runtime","ae_hidden","dsf","c_num","z_channels","alpha","Bits_per_pixel","test_mse","zdim"
"charmed-snowflake-180","finished","2716","64","1","128","8","0","1.4825131727852423","0.0006377482209354639","8192"
"clean-sound-178","finished","2703","64","1","64","8","0","1.3674875876421686","0.0007835004637017846","8192"
"icy-wind-178","finished","4750","64","1","64","16","0","2.5711516510472565","0.0008508770801126957","16384"
"polar-dream-174","finished","4527","64","1","32","8","0","1.1340644666163446","0.0008354347510263324","8192"
"trim-lake-174","finished","5041","64","1","32","64","0","8.461195479881107","0.000874092042259872","65536"
"vibrant-sky-174","finished","4778","64","1","32","32","0","4.387109214571504","0.0008688240720890462","32768"
"logical-wind-174","finished","4599","64","1","32","16","0","2.3187839572258744","0.0008321850053966045","16384"
"light-fire-173","finished","4726","64","1","16","64","0","7.545630316097153","0.0009969755180180074","65536"
"clear-night-172","finished","3517","64","1","16","32","0","3.715190843671053","0.0009717744179069996","32768"
"pious-forest-169","finished","4463","64","1","8","8","0","0.7301911355440938","0.001395428128913045","8192"
"gallant-grass-169","finished","4490","64","1","8","16","0","1.4723614160921594","0.0014596063261851668","16384"
"fiery-dragon-167","finished","1304","64","4","64","8","0.01","0.12350965458546384","0.01288173677623272","512"
"autumn-bee-171","finished","1328","64","4","64","32","0.01","0.5865794013923737","0.01169248254150152","2048"
"logical-yogurt-165","finished","4548","64","1","8","32","0","2.870526102815277","0.001459693054482341","32768"
"volcanic-elevator-165","finished","1391","64","4","64","64","0.01","1.14685990801058","0.012365274813771247","4096"
"super-darkness-168","finished","1303","64","4","64","16","0.01","0.2651559666347643","0.012196716737747191","1024"
"toasty-breeze-163","finished","2629","64","1","16","16","0","1.8757339713836951","0.001093460301309824","16384"
"efficient-fog-164","finished","2595","64","1","16","8","0","0.9363089585349452","0.0011499383956193924","8192"
"noble-haze-162","finished","2692","64","1","8","64","0","5.846562529488637","0.0015949513217434286","65536"
"bright-hill-160","finished","6128","64","4","32","32","0.01","0.5334878309416993","0.012261385802924633","2048"
"desert-firefly-160","finished","6176","64","4","32","64","0.01","1.0423786737135698","0.012654662999510765","4096"
"earthy-bee-159","finished","1073","64","4","32","16","0.01","0.2822087434790992","0.01199817637205124","1024"
"absurd-armadillo-158","finished","1303","64","4","16","64","0.01","1.0032675794180803","0.01249862368106842","4096"
"dulcet-wave-157","finished","6128","64","4","32","8","0.01","0.11288464994713308","0.013658801701664924","512"
"scarlet-violet-156","finished","1292","64","4","16","32","0.01","0.5407532733870316","0.012272666424512864","2048"
"volcanic-donkey-155","finished","1281","64","4","16","16","0.01","0.2576486881363884","0.012272095811367036","1024"
"vibrant-haze-151","finished","1324","64","4","8","16","0.01","0.2319818140569101","0.012992187544703484","1024"
"vivid-frog-151","finished","1294","64","4","8","32","0.01","0.4792707900637885","0.01382868411242962","2048"
"fluent-disco-151","finished","1312","64","4","8","64","0.01","0.933552077191959","0.013471635523438451","4096"
"solar-surf-151","finished","1290","64","4","8","8","0.01","0.11984824884081342","0.013774864038825036","512"
"scarlet-bird-150","finished","1280","64","4","16","8","0.01","0.11382946546394018","0.01344855284690857","512"
"playful-snowball-148","finished","1683","64","2","128","32","0.01","0.9252652074942008","0.006687597372382879","8192"
"sage-brook-149","finished","1418","64","2","128","8","0.01","0.22587954091105533","0.006557649023830891","2048"
"morning-dawn-147","finished","1480","64","2","128","16","0.01","0.4158695280184699","0.00708921862244606","4096"
"azure-leaf-142","finished","1650","64","2","128","32","0.001","1.934137607394994","0.002547754453867674","8192"
"firm-bush-143","finished","1409","64","2","128","8","0","0.7605062279304832","0.00162504488453269","2048"
"stellar-voice-139","finished","1501","64","2","128","16","0","1.5024882436109914","0.001735481627099216","4096"
"denim-gorge-140","finished","1298","64","4","8","16","0","0.3705021438531097","0.010026964370906354","1024"
"expert-smoke-143","finished","1311","64","4","8","32","0","0.7240346329663552","0.010368693417310716","2048"
"amber-glade-143","finished","1488","64","2","128","16","0.001","1.0255121350932346","0.002307612308114767","4096"
"generous-blaze-143","finished","1411","64","2","128","8","0.001","0.5300561193953293","0.0020653488971292973","2048"
"leafy-dew-139","finished","1663","64","2","128","32","0","2.8479761911179993","0.0018094018820673228","8192"
"trim-hill-136","finished","6104","64","4","16","16","0.001","0.4520810317622854","0.00854612521827221","1024"
"neat-darkness-136","finished","6100","64","4","16","8","0","0.24207435096632207","0.008230323998630046","512"
"efficient-shadow-136","finished","6153","64","4","16","16","0","0.4816032213889262","0.008646216711401939","1024"
"devout-totem-135","finished","1321","64","4","16","32","0.001","0.9372192248697792","0.008486941039562225","2048"
"hopeful-forest-132","finished","1294","64","4","16","32","0","0.964634371113166","0.008324739512056112","2048"
"worldly-serenity-133","finished","1268","64","4","32","8","0","0.2963592062545015","0.006720000857114792","512"
"prime-brook-133","finished","1264","64","4","32","8","0.001","0.26602236893208153","0.007253235699236393","512"
"ruby-monkey-131","finished","6116","64","4","32","32","0.001","1.0492035728301023","0.007664167679846286","2048"
